Timestamp,LLM,Dataset,Embedding,Retriever,Index Size,Eval Samples,AUC,Retrieval Recall
2026-01-25 23:05:24,llama3,healthcaremagic,sentence-transformers/all-MiniLM-L6-v2,faiss,500,50,0.9946,1.0
2026-01-25 23:12:23,llama3,healthcaremagic,sentence-transformers/all-MiniLM-L6-v2,bm25,500,50,0.9608,1.0
2026-01-25 23:19:15,llama3,healthcaremagic,BAAI/bge-small-en-v1.5,faiss,500,50,0.993,1.0
2026-01-25 23:26:07,llama3,healthcaremagic,BAAI/bge-small-en-v1.5,bm25,500,50,0.9608,1.0
2026-01-25 23:32:47,mistral,healthcaremagic,sentence-transformers/all-MiniLM-L6-v2,faiss,500,50,0.9104,1.0
2026-01-25 23:39:21,mistral,healthcaremagic,sentence-transformers/all-MiniLM-L6-v2,bm25,500,50,0.7858,1.0
2026-01-25 23:46:12,mistral,healthcaremagic,BAAI/bge-small-en-v1.5,faiss,500,50,0.9112,1.0
2026-01-25 23:53:11,mistral,healthcaremagic,BAAI/bge-small-en-v1.5,bm25,500,50,0.7858,1.0
2026-01-25 23:59:53,phi3,healthcaremagic,sentence-transformers/all-MiniLM-L6-v2,faiss,500,50,0.96,1.0
2026-01-26 00:14:12,phi3,healthcaremagic,sentence-transformers/all-MiniLM-L6-v2,bm25,500,50,0.5,1.0
2026-01-26 00:22:30,phi3,healthcaremagic,BAAI/bge-small-en-v1.5,faiss,500,50,0.5,1.0
2026-01-26 00:31:47,phi3,healthcaremagic,BAAI/bge-small-en-v1.5,bm25,500,50,0.5,1.0
2026-01-26 00:40:11,llama3,msmarco,sentence-transformers/all-MiniLM-L6-v2,faiss,500,50,0.9452,1.0
2026-01-26 00:44:54,llama3,msmarco,sentence-transformers/all-MiniLM-L6-v2,bm25,500,50,0.9468,1.0
2026-01-26 00:49:24,llama3,msmarco,BAAI/bge-small-en-v1.5,faiss,500,50,0.9396,1.0
2026-01-26 00:54:11,llama3,msmarco,BAAI/bge-small-en-v1.5,bm25,500,50,0.9468,1.0
2026-01-26 00:58:39,mistral,msmarco,sentence-transformers/all-MiniLM-L6-v2,faiss,500,50,0.7686,1.0
2026-01-26 01:03:40,mistral,msmarco,sentence-transformers/all-MiniLM-L6-v2,bm25,500,50,0.7198,1.0
2026-01-26 01:08:12,mistral,msmarco,BAAI/bge-small-en-v1.5,faiss,500,50,0.7554,1.0
2026-01-26 01:12:52,mistral,msmarco,BAAI/bge-small-en-v1.5,bm25,500,50,0.7198,1.0
2026-01-26 01:17:14,phi3,msmarco,sentence-transformers/all-MiniLM-L6-v2,faiss,500,50,0.8206,1.0
2026-01-26 01:21:17,phi3,msmarco,sentence-transformers/all-MiniLM-L6-v2,bm25,500,50,0.7864,1.0
2026-01-26 01:25:46,phi3,msmarco,BAAI/bge-small-en-v1.5,faiss,500,50,0.8478,1.0
2026-01-26 01:29:58,phi3,msmarco,BAAI/bge-small-en-v1.5,bm25,500,50,0.7864,1.0
2026-01-26 01:34:26,llama3,nq,sentence-transformers/all-MiniLM-L6-v2,faiss,500,50,0.9226,1.0
2026-01-26 01:40:10,llama3,nq,sentence-transformers/all-MiniLM-L6-v2,bm25,500,50,0.9282,1.0
2026-01-26 01:45:28,llama3,nq,BAAI/bge-small-en-v1.5,faiss,500,50,0.854,1.0
2026-01-26 01:51:11,llama3,nq,BAAI/bge-small-en-v1.5,bm25,500,50,0.9282,1.0
2026-01-26 01:56:31,mistral,nq,sentence-transformers/all-MiniLM-L6-v2,faiss,500,50,0.7362,1.0
2026-01-26 02:02:47,mistral,nq,sentence-transformers/all-MiniLM-L6-v2,bm25,500,50,0.7492,1.0
2026-01-26 02:08:36,mistral,nq,BAAI/bge-small-en-v1.5,faiss,500,50,0.8084,1.0
2026-01-26 02:14:33,mistral,nq,BAAI/bge-small-en-v1.5,bm25,500,50,0.7492,1.0
2026-01-26 02:20:23,phi3,nq,sentence-transformers/all-MiniLM-L6-v2,faiss,500,50,0.909,1.0
2026-01-26 02:26:53,phi3,nq,sentence-transformers/all-MiniLM-L6-v2,bm25,500,50,0.9298,1.0
2026-01-26 02:39:12,phi3,nq,BAAI/bge-small-en-v1.5,faiss,500,50,0.5,1.0
2026-01-26 02:47:11,phi3,nq,BAAI/bge-small-en-v1.5,bm25,500,50,0.5,1.0
