study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,runtime_seconds,failure_reason,config_repr
robustness_cross_dataset,robustness_cross_dataset-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 16:56:07,2026-03-30 17:01:44,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9966,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,336.387,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-healthcaremagic-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:01:44,2026-03-30 17:10:02,success,healthcaremagic,healthcaremagic,ollama,llama3,llama3,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.998,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,497.8839,,"Config(LLM=llama3, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-msmarco-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:10:02,2026-03-30 17:16:07,success,msmarco,msmarco,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9838,0.73,0.6493506493506493,1.0,0.7874015748031497,1.0,352.2942,,"Config(LLM=gpt-4o-mini, Data=msmarco, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-msmarco-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:16:07,2026-03-30 17:23:31,success,msmarco,msmarco,ollama,llama3,llama3,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9652000000000001,0.86,0.78125,1.0,0.8771929824561403,1.0,443.8403,,"Config(LLM=llama3, Data=msmarco, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-nq-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:23:31,2026-03-30 17:29:37,success,nq,nq,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9848,0.73,0.6493506493506493,1.0,0.7874015748031497,1.0,346.4234,,"Config(LLM=gpt-4o-mini, Data=nq, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-nq-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:29:37,2026-03-30 17:37:58,success,nq,nq,ollama,llama3,llama3,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9916,0.95,0.9245283018867925,0.98,0.9514563106796117,1.0,500.3182,,"Config(LLM=llama3, Data=nq, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-fiqa-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:37:58,2026-03-30 17:44:06,success,fiqa,fiqa,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9992,0.89,0.819672131147541,1.0,0.9009009009009009,1.0,365.9063,,"Config(LLM=gpt-4o-mini, Data=fiqa, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-fiqa-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:44:06,2026-03-30 17:51:51,success,fiqa,fiqa,ollama,llama3,llama3,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9826,0.98,1.0,0.96,0.9795918367346939,1.0,464.1005,,"Config(LLM=llama3, Data=fiqa, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-arxiv-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:51:51,2026-03-30 17:57:41,success,arxiv,arxiv,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9890000000000001,0.94,0.8928571428571429,1.0,0.9433962264150944,1.0,345.4042,,"Config(LLM=gpt-4o-mini, Data=arxiv, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-arxiv-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:57:41,2026-03-30 18:05:42,success,arxiv,arxiv,ollama,llama3,llama3,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9935999999999999,0.97,0.9433962264150944,1.0,0.970873786407767,1.0,480.977,,"Config(LLM=llama3, Data=arxiv, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
